measure,interval_start,interval_end,ratio,numerator,denominator,prior_opioid_rx,age_group,imd_decile,sex
count_pre_imd,2000-04-22,2000-04-28,0.287863591,287,997,,,1 (most deprived),
count_pre_imd,2000-04-22,2000-04-28,0.257090576,281,1093,,,9,
count_pre_imd,2000-04-22,2000-04-28,0.313,313,1000,,,3,
count_pre_imd,2000-04-22,2000-04-28,0.409683426,440,1074,,,10 (least deprived),
count_pre_imd,2000-04-22,2000-04-28,0.533907427,496,929,,,4,
count_pre_imd,2000-04-22,2000-04-28,0.358375635,353,985,,,8,
count_pre_imd,2000-04-22,2000-04-28,0.438653637,404,921,,,7,
count_pre_imd,2000-04-22,2000-04-28,0.262915129,285,1084,,,6,
count_pre_sex,2000-04-22,2000-04-28,0.313915858,291,927,,,,female
count_pre_sex,2000-04-22,2000-04-28,0.360178971,322,894,,,,male
count_pre,2000-04-29,2000-05-05,0.403225806,375,930,,,,
count_pre_prior,2000-04-29,2000-05-05,0.350844278,374,1066,T,,,
count_pre_prior,2000-04-29,2000-05-05,0.26716141,288,1078,F,,,
count_pre_age,2000-04-29,2000-05-05,0.417759839,414,991,,18-39,,
count_pre_age,2000-04-29,2000-05-05,0.267619048,281,1050,,80+,,
count_pre_age,2000-04-29,2000-05-05,0.581585082,499,858,,70-79,,
count_pre_age,2000-04-29,2000-05-05,0.335378323,328,978,,40-49,,
count_pre_age,2000-04-29,2000-05-05,0.480863592,490,1019,,60-69,,
count_pre_age,2000-04-29,2000-05-05,0.325107296,303,932,,50-59,,
count_pre_imd,2000-04-29,2000-05-05,0.438943894,399,909,,,Unknown,
count_pre_imd,2000-04-29,2000-05-05,0.306192661,267,872,,,5,
count_pre_imd,2000-04-29,2000-05-05,0.31887456,272,853,,,2,
count_pre_imd,2000-04-29,2000-05-05,0.252506837,277,1097,,,1 (most deprived),
count_pre_imd,2000-04-29,2000-05-05,0.322884013,309,957,,,9,
count_pre_imd,2000-04-29,2000-05-05,0.264258555,278,1052,,,3,
count_pre_imd,2000-04-29,2000-05-05,0.271750806,253,931,,,10 (least deprived),
count_pre_imd,2000-04-29,2000-05-05,0.316666667,342,1080,,,4,
count_pre_imd,2000-04-29,2000-05-05,0.443835616,486,1095,,,8,
count_pre_imd,2000-04-29,2000-05-05,0.349628055,329,941,,,7,
count_pre_imd,2000-04-29,2000-05-05,0.387795276,394,1016,,,6,
count_pre_sex,2000-04-29,2000-05-05,0.392354125,390,994,,,,female
count_pre_sex,2000-04-29,2000-05-05,0.344902386,318,922,,,,male
count_pre,2000-05-06,2000-05-12,0.435239207,373,857,,,,
count_pre_prior,2000-05-06,2000-05-12,0.562719812,480,853,T,,,
count_pre_prior,2000-05-06,2000-05-12,0.338388626,357,1055,F,,,
count_pre_age,2000-05-06,2000-05-12,0.241573034,258,1068,,18-39,,
count_pre_age,2000-05-06,2000-05-12,0.407797682,387,949,,80+,,
count_pre_age,2000-05-06,2000-05-12,0.315911731,272,861,,70-79,,
count_pre_age,2000-05-06,2000-05-12,0.258490566,274,1060,,40-49,,
count_pre_age,2000-05-06,2000-05-12,0.527559055,469,889,,60-69,,
count_pre_age,2000-05-06,2000-05-12,0.402425579,365,907,,50-59,,
count_pre_imd,2000-05-06,2000-05-12,0.392212726,413,1053,,,Unknown,
count_pre_imd,2000-05-06,2000-05-12,0.343478261,316,920,,,5,
count_pre_imd,2000-05-06,2000-05-12,0.439781022,482,1096,,,2,
count_pre_imd,2000-05-06,2000-05-12,0.440347072,406,922,,,1 (most deprived),
count_pre_imd,2000-05-06,2000-05-12,0.489130435,450,920,,,9,
count_pre_imd,2000-05-06,2000-05-12,0.378923767,338,892,,,3,
count_pre_imd,2000-05-06,2000-05-12,0.277934272,296,1065,,,10 (least deprived),
count_pre_imd,2000-05-06,2000-05-12,0.381039198,418,1097,,,4,
count_pre_imd,2000-05-06,2000-05-12,0.393081761,375,954,,,8,
count_pre_imd,2000-05-06,2000-05-12,0.440333025,476,1081,,,7,
count_pre_imd,2000-05-06,2000-05-12,0.361781076,390,1078,,,6,
count_pre_sex,2000-05-06,2000-05-12,0.35862069,312,870,,,,female
count_pre_sex,2000-05-06,2000-05-12,0.329682366,301,913,,,,male
count_pre,2000-05-13,2000-05-19,0.369419643,331,896,,,,
count_pre_prior,2000-05-13,2000-05-19,0.304087737,305,1003,T,,,
count_pre_prior,2000-05-13,2000-05-19,0.424564797,439,1034,F,,,
count_pre_age,2000-05-13,2000-05-19,0.460385439,430,934,,18-39,,
count_pre_age,2000-05-13,2000-05-19,0.440988106,482,1093,,80+,,
count_pre_age,2000-05-13,2000-05-19,0.313978495,292,930,,70-79,,
count_pre_age,2000-05-13,2000-05-19,0.465485075,499,1072,,40-49,,
count_pre_age,2000-05-13,2000-05-19,0.429383886,453,1055,,60-69,,
count_pre_age,2000-05-13,2000-05-19,0.352997146,371,1051,,50-59,,
count_pre_imd,2000-05-13,2000-05-19,0.245564893,263,1071,,,Unknown,
count_pre_imd,2000-05-13,2000-05-19,0.385221675,391,1015,,,5,
count_pre_imd,2000-05-13,2000-05-19,0.297951583,320,1074,,,2,
count_pre_imd,2000-05-13,2000-05-19,0.301034807,320,1063,,,1 (most deprived),
count_pre_imd,2000-05-13,2000-05-19,0.374296435,399,1066,,,9,
count_pre_imd,2000-05-13,2000-05-19,0.466876972,444,951,,,3,
count_pre_imd,2000-05-13,2000-05-19,0.363636364,336,924,,,10 (least deprived),
count_pre_imd,2000-05-13,2000-05-19,0.294234592,296,1006,,,4,
count_pre_imd,2000-05-13,2000-05-19,0.259433962,275,1060,,,8,
count_pre_imd,2000-05-13,2000-05-19,0.327102804,350,1070,,,7,
count_pre_imd,2000-05-13,2000-05-19,0.457627119,405,885,,,6,
count_pre_sex,2000-05-13,2000-05-19,0.459980714,477,1037,,,,female
count_pre_sex,2000-05-13,2000-05-19,0.287234043,297,1034,,,,male
count_pre,2000-05-20,2000-05-26,0.516402116,488,945,,,,
count_pre_prior,2000-05-20,2000-05-26,0.259920635,262,1008,T,,,
count_pre_prior,2000-05-20,2000-05-26,0.390510949,428,1096,F,,,
count_pre_age,2000-05-20,2000-05-26,0.386727689,338,874,,18-39,,
count_pre_age,2000-05-20,2000-05-26,0.375369458,381,1015,,80+,,
count_pre_age,2000-05-20,2000-05-26,0.248395967,271,1091,,70-79,,
count_pre_age,2000-05-20,2000-05-26,0.484749455,445,918,,40-49,,
count_pre_age,2000-05-20,2000-05-26,0.388316151,339,873,,60-69,,
count_pre_age,2000-05-20,2000-05-26,0.284780579,305,1071,,50-59,,
count_pre_imd,2000-05-20,2000-05-26,0.508108108,470,925,,,Unknown,
count_pre_imd,2000-05-20,2000-05-26,0.461786868,429,929,,,5,
count_pre_imd,2000-05-20,2000-05-26,0.352818372,338,958,,,2,
count_pre_imd,2000-05-20,2000-05-26,0.355555556,320,900,,,1 (most deprived),
count_pre_imd,2000-05-20,2000-05-26,0.350635593,331,944,,,9,
count_pre_imd,2000-05-20,2000-05-26,0.414,414,1000,,,3,
count_pre_imd,2000-05-20,2000-05-26,0.319806763,331,1035,,,10 (least deprived),
count_pre_imd,2000-05-20,2000-05-26,0.286510591,257,897,,,4,
count_pre_imd,2000-05-20,2000-05-26,0.451553931,494,1094,,,8,
count_pre_imd,2000-05-20,2000-05-26,0.442731278,402,908,,,7,
count_pre_imd,2000-05-20,2000-05-26,0.253952569,257,1012,,,6,
count_pre_sex,2000-05-20,2000-05-26,0.468146718,485,1036,,,,female
count_pre_sex,2000-05-20,2000-05-26,0.518636848,487,939,,,,male
count_pre,2000-05-27,2000-06-02,0.338353414,337,996,,,,
count_pre_prior,2000-05-27,2000-06-02,0.322269807,301,934,T,,,
count_pre_prior,2000-05-27,2000-06-02,0.260869565,264,1012,F,,,
count_pre_age,2000-05-27,2000-06-02,0.277277277,277,999,,18-39,,
count_pre_age,2000-05-27,2000-06-02,0.460204082,451,980,,80+,,
count_pre_age,2000-05-27,2000-06-02,0.358333333,387,1080,,70-79,,
count_pre_age,2000-05-27,2000-06-02,0.433427762,459,1059,,40-49,,
count_pre_age,2000-05-27,2000-06-02,0.381609195,332,870,,60-69,,
count_pre_age,2000-05-27,2000-06-02,0.235680751,251,1065,,50-59,,
count_pre_imd,2000-05-27,2000-06-02,0.426094891,467,1096,,,Unknown,
count_pre_imd,2000-05-27,2000-06-02,0.353965184,366,1034,,,5,
count_pre_imd,2000-05-27,2000-06-02,0.29988726,266,887,,,2,
count_pre_imd,2000-05-27,2000-06-02,0.354657688,316,891,,,1 (most deprived),
count_pre_imd,2000-05-27,2000-06-02,0.267137097,265,992,,,9,
count_pre_imd,2000-05-27,2000-06-02,0.471641791,474,1005,,,3,
count_pre_imd,2000-05-27,2000-06-02,0.320170758,300,937,,,10 (least deprived),
count_pre_imd,2000-05-27,2000-06-02,0.368266405,376,1021,,,4,
count_pre_imd,2000-05-27,2000-06-02,0.314343845,309,983,,,8,
count_pre_imd,2000-05-27,2000-06-02,0.330637007,327,989,,,7,
count_pre_imd,2000-05-27,2000-06-02,0.238270469,259,1087,,,6,
count_pre_sex,2000-05-27,2000-06-02,0.456300813,449,984,,,,female
count_pre_sex,2000-05-27,2000-06-02,0.335507922,360,1073,,,,male
count_pre,2000-06-03,2000-06-09,0.350826045,361,1029,,,,
count_pre_prior,2000-06-03,2000-06-09,0.389108911,393,1010,T,,,
count_pre_prior,2000-06-03,2000-06-09,0.402061856,429,1067,F,,,
count_pre_age,2000-06-03,2000-06-09,0.435280641,380,873,,18-39,,
count_pre_age,2000-06-03,2000-06-09,0.495495495,440,888,,80+,,
count_pre_age,2000-06-03,2000-06-09,0.324545455,357,1100,,70-79,,
count_pre_age,2000-06-03,2000-06-09,0.447072072,397,888,,40-49,,
count_pre_age,2000-06-03,2000-06-09,0.322255791,320,993,,60-69,,
count_pre_age,2000-06-03,2000-06-09,0.351872872,310,881,,50-59,,
count_pre_imd,2000-06-03,2000-06-09,0.473913043,436,920,,,Unknown,
count_pre_imd,2000-06-03,2000-06-09,0.368686869,365,990,,,5,
count_pre_imd,2000-06-03,2000-06-09,0.446547884,401,898,,,2,
count_pre_imd,2000-06-03,2000-06-09,0.433333333,416,960,,,1 (most deprived),
count_pre_imd,2000-06-03,2000-06-09,0.404761905,408,1008,,,9,
count_pre_imd,2000-06-03,2000-06-09,0.306951872,287,935,,,3,
count_pre_imd,2000-06-03,2000-06-09,0.463133641,402,868,,,10 (least deprived),
count_pre_imd,2000-06-03,2000-06-09,0.448979592,484,1078,,,4,
count_pre_imd,2000-06-03,2000-06-09,0.497219132,447,899,,,8,
count_pre_imd,2000-06-03,2000-06-09,0.284663866,271,952,,,7,
count_pre_imd,2000-06-03,2000-06-09,0.461934156,449,972,,,6,
count_pre_sex,2000-06-03,2000-06-09,0.370087336,339,916,,,,female
count_pre_sex,2000-06-03,2000-06-09,0.359683794,364,1012,,,,male
count_pre,2000-06-10,2000-06-16,0.387640449,345,890,,,,
count_pre_prior,2000-06-10,2000-06-16,0.329449153,311,944,T,,,
count_pre_prior,2000-06-10,2000-06-16,0.244208494,253,1036,F,,,
count_pre_age,2000-06-10,2000-06-16,0.489819005,433,884,,18-39,,
count_pre_age,2000-06-10,2000-06-16,0.407608696,375,920,,80+,,
count_pre_age,2000-06-10,2000-06-16,0.476328502,493,1035,,70-79,,
count_pre_age,2000-06-10,2000-06-16,0.570267131,491,861,,40-49,,
count_pre_age,2000-06-10,2000-06-16,0.375,360,960,,60-69,,
count_pre_age,2000-06-10,2000-06-16,0.272812794,290,1063,,50-59,,
count_pre_imd,2000-06-10,2000-06-16,0.443661972,441,994,,,Unknown,
count_pre_imd,2000-06-10,2000-06-16,0.343869732,359,1044,,,5,
count_pre_imd,2000-06-10,2000-06-16,0.330011074,298,903,,,2,
count_pre_imd,2000-06-10,2000-06-16,0.45045045,450,999,,,1 (most deprived),
count_pre_imd,2000-06-10,2000-06-16,0.483679525,489,1011,,,9,
count_pre_imd,2000-06-10,2000-06-16,0.454959054,500,1099,,,3,
count_pre_imd,2000-06-10,2000-06-16,0.498349835,453,909,,,10 (least deprived),
count_pre_imd,2000-06-10,2000-06-16,0.301660517,327,1084,,,4,
count_pre_imd,2000-06-10,2000-06-16,0.299790356,286,954,,,8,
count_pre_imd,2000-06-10,2000-06-16,0.331381733,283,854,,,7,
count_pre_imd,2000-06-10,2000-06-16,0.250992063,253,1008,,,6,
count_pre_sex,2000-06-10,2000-06-16,0.296472831,311,1049,,,,female
count_pre_sex,2000-06-10,2000-06-16,0.406281662,401,987,,,,male
count_pre,2000-06-17,2000-06-23,0.304123711,295,970,,,,
count_pre_prior,2000-06-17,2000-06-23,0.351571595,302,859,T,,,
count_pre_prior,2000-06-17,2000-06-23,0.349889625,317,906,F,,,
count_pre_age,2000-06-17,2000-06-23,0.462702703,428,925,,18-39,,
count_pre_age,2000-06-17,2000-06-23,0.321047527,331,1031,,80+,,
count_pre_age,2000-06-17,2000-06-23,0.271529889,268,987,,70-79,,
count_pre_age,2000-06-17,2000-06-23,0.459081836,460,1002,,40-49,,
count_pre_age,2000-06-17,2000-06-23,0.392090395,347,885,,60-69,,
count_pre_age,2000-06-17,2000-06-23,0.333333333,348,1044,,50-59,,
count_pre_imd,2000-06-17,2000-06-23,0.412087912,375,910,,,Unknown,
count_pre_imd,2000-06-17,2000-06-23,0.460060667,455,989,,,5,
count_pre_imd,2000-06-17,2000-06-23,0.385277247,403,1046,,,2,
count_pre_imd,2000-06-17,2000-06-23,0.53613808,497,927,,,1 (most deprived),
count_pre_imd,2000-06-17,2000-06-23,0.441176471,465,1054,,,9,
count_pre_imd,2000-06-17,2000-06-23,0.24,264,1100,,,3,
count_pre_imd,2000-06-17,2000-06-23,0.430355427,448,1041,,,10 (least deprived),
count_pre_imd,2000-06-17,2000-06-23,0.368421053,378,1026,,,4,
count_pre_imd,2000-06-17,2000-06-23,0.416483516,379,910,,,8,
count_pre_imd,2000-06-17,2000-06-23,0.274611399,265,965,,,7,
count_pre_imd,2000-06-17,2000-06-23,0.363033175,383,1055,,,6,
count_pre_sex,2000-06-17,2000-06-23,0.297085202,265,892,,,,female
count_pre_sex,2000-06-17,2000-06-23,0.395415473,414,1047,,,,male
count_pre,2000-06-24,2000-06-30,0.382820785,361,943,,,,
count_pre_prior,2000-06-24,2000-06-30,0.371081901,367,989,T,,,
count_pre_prior,2000-06-24,2000-06-30,0.355718783,339,953,F,,,
count_pre_age,2000-06-24,2000-06-30,0.352652259,359,1018,,18-39,,
count_pre_age,2000-06-24,2000-06-30,0.325128205,317,975,,80+,,
count_pre_age,2000-06-24,2000-06-30,0.410373066,451,1099,,70-79,,
count_pre_age,2000-06-24,2000-06-30,0.473988439,492,1038,,40-49,,
count_pre_age,2000-06-24,2000-06-30,0.352380952,370,1050,,60-69,,
count_pre_age,2000-06-24,2000-06-30,0.384364821,354,921,,50-59,,
count_pre_imd,2000-06-24,2000-06-30,0.292410714,262,896,,,Unknown,
count_pre_imd,2000-06-24,2000-06-30,0.458932238,447,974,,,5,
count_pre_imd,2000-06-24,2000-06-30,0.37442076,404,1079,,,2,
count_pre_imd,2000-06-24,2000-06-30,0.437963945,413,943,,,1 (most deprived),
count_pre_imd,2000-06-24,2000-06-30,0.358744395,320,892,,,9,
count_pre_imd,2000-06-24,2000-06-30,0.354457573,330,931,,,3,
count_pre_imd,2000-06-24,2000-06-30,0.468503937,476,1016,,,10 (least deprived),
count_pre_imd,2000-06-24,2000-06-30,0.37045721,316,853,,,4,
count_pre_imd,2000-06-24,2000-06-30,0.324786325,342,1053,,,8,
count_pre_imd,2000-06-24,2000-06-30,0.242763772,260,1071,,,7,
count_pre_imd,2000-06-24,2000-06-30,0.403050109,370,918,,,6,
count_pre_sex,2000-06-24,2000-06-30,0.294291339,299,1016,,,,female
count_pre_sex,2000-06-24,2000-06-30,0.337297297,312,925,,,,male
count_wait_prior,2000-01-01,2000-01-07,0.441364606,414,938,T,,,
count_wait_prior,2000-01-01,2000-01-07,0.421173763,366,869,F,,,
count_wait_age,2000-01-01,2000-01-07,0.292200233,251,859,,18-39,,
count_wait_age,2000-01-01,2000-01-07,0.410303588,446,1087,,80+,,
count_wait_age,2000-01-01,2000-01-07,0.402185792,368,915,,70-79,,
count_wait_age,2000-01-01,2000-01-07,0.376237624,342,909,,40-49,,
count_wait_age,2000-01-01,2000-01-07,0.29250264,277,947,,60-69,,
count_wait_age,2000-01-01,2000-01-07,0.269379845,278,1032,,50-59,,
count_wait_imd,2000-01-01,2000-01-07,0.408,357,875,,,Unknown,
count_wait_imd,2000-01-01,2000-01-07,0.355058366,365,1028,,,5,
count_wait_imd,2000-01-01,2000-01-07,0.278625954,292,1048,,,2,
count_wait_imd,2000-01-01,2000-01-07,0.326944758,290,887,,,1 (most deprived),
count_wait_imd,2000-01-01,2000-01-07,0.423330198,450,1063,,,9,
count_wait_imd,2000-01-01,2000-01-07,0.5,451,902,,,3,
count_wait_imd,2000-01-01,2000-01-07,0.461467038,497,1077,,,10 (least deprived),
count_wait_imd,2000-01-01,2000-01-07,0.289145053,301,1041,,,4,
count_wait_imd,2000-01-01,2000-01-07,0.306839187,332,1082,,,8,
count_wait_imd,2000-01-01,2000-01-07,0.409005629,436,1066,,,7,
count_wait_imd,2000-01-01,2000-01-07,0.339566929,345,1016,,,6,
count_wait_sex,2000-01-01,2000-01-07,0.495475113,438,884,,,,female
count_wait_sex,2000-01-01,2000-01-07,0.294534413,291,988,,,,male
count_wait_prior,2000-01-08,2000-01-14,0.297468354,282,948,T,,,
count_wait_prior,2000-01-08,2000-01-14,0.493165089,469,951,F,,,
count_wait_age,2000-01-08,2000-01-14,0.379591837,372,980,,18-39,,
count_wait_age,2000-01-08,2000-01-14,0.318181818,301,946,,80+,,
count_wait_age,2000-01-08,2000-01-14,0.40040858,392,979,,70-79,,
count_wait_age,2000-01-08,2000-01-14,0.28989899,287,990,,40-49,,
count_wait_age,2000-01-08,2000-01-14,0.441148325,461,1045,,60-69,,
count_wait_age,2000-01-08,2000-01-14,0.25739645,261,1014,,50-59,,
count_wait_imd,2000-01-08,2000-01-14,0.310502283,340,1095,,,Unknown,
count_wait_imd,2000-01-08,2000-01-14,0.236794171,260,1098,,,5,
count_wait_imd,2000-01-08,2000-01-14,0.256153145,281,1097,,,2,
count_wait_imd,2000-01-08,2000-01-14,0.30754717,326,1060,,,1 (most deprived),
count_wait_imd,2000-01-08,2000-01-14,0.40063762,377,941,,,9,
count_wait_imd,2000-01-08,2000-01-14,0.443227092,445,1004,,,3,
count_wait_imd,2000-01-08,2000-01-14,0.262125903,254,969,,,10 (least deprived),
count_wait_imd,2000-01-08,2000-01-14,0.301923077,314,1040,,,4,
count_wait_imd,2000-01-08,2000-01-14,0.35443038,336,948,,,8,
count_wait_imd,2000-01-08,2000-01-14,0.525531915,494,940,,,7,
count_wait_imd,2000-01-08,2000-01-14,0.440860215,451,1023,,,6,
count_wait_sex,2000-01-08,2000-01-14,0.428280773,421,983,,,,female
count_wait_sex,2000-01-08,2000-01-14,0.322513089,308,955,,,,male
count_wait_prior,2000-01-15,2000-01-21,0.518676628,486,937,T,,,
count_wait_prior,2000-01-15,2000-01-21,0.47171825,442,937,F,,,
count_wait_age,2000-01-15,2000-01-21,0.394433781,411,1042,,18-39,,
count_wait_age,2000-01-15,2000-01-21,0.422509225,458,1084,,80+,,
count_wait_age,2000-01-15,2000-01-21,0.313568985,275,877,,70-79,,
count_wait_age,2000-01-15,2000-01-21,0.298143852,257,862,,40-49,,
count_wait_age,2000-01-15,2000-01-21,0.530821918,465,876,,60-69,,
count_wait_age,2000-01-15,2000-01-21,0.339779006,369,1086,,50-59,,
count_wait_imd,2000-01-15,2000-01-21,0.293680297,316,1076,,,Unknown,
count_wait_imd,2000-01-15,2000-01-21,0.282997763,253,894,,,5,
count_wait_imd,2000-01-15,2000-01-21,0.293260474,322,1098,,,2,
count_wait_imd,2000-01-15,2000-01-21,0.537378115,496,923,,,1 (most deprived),
count_wait_imd,2000-01-15,2000-01-21,0.485188968,475,979,,,9,
count_wait_imd,2000-01-15,2000-01-21,0.398572885,391,981,,,3,
count_wait_imd,2000-01-15,2000-01-21,0.452054795,396,876,,,10 (least deprived),
count_wait_imd,2000-01-15,2000-01-21,0.333998006,335,1003,,,4,
count_wait_imd,2000-01-15,2000-01-21,0.470651014,441,937,,,8,
count_wait_imd,2000-01-15,2000-01-21,0.550387597,497,903,,,7,
count_wait_imd,2000-01-15,2000-01-21,0.436018957,460,1055,,,6,
count_wait_sex,2000-01-15,2000-01-21,0.399633364,436,1091,,,,female
count_wait_sex,2000-01-15,2000-01-21,0.313102119,325,1038,,,,male
count_wait_prior,2000-01-22,2000-01-28,0.419678715,418,996,T,,,
count_wait_prior,2000-01-22,2000-01-28,0.296760711,284,957,F,,,
count_wait_age,2000-01-22,2000-01-28,0.471238938,426,904,,18-39,,
count_wait_age,2000-01-22,2000-01-28,0.282075472,299,1060,,80+,,
count_wait_age,2000-01-22,2000-01-28,0.451381781,441,977,,70-79,,
count_wait_age,2000-01-22,2000-01-28,0.308695652,284,920,,40-49,,
count_wait_age,2000-01-22,2000-01-28,0.376415094,399,1060,,60-69,,
count_wait_age,2000-01-22,2000-01-28,0.470264317,427,908,,50-59,,
count_wait_imd,2000-01-22,2000-01-28,0.406779661,432,1062,,,Unknown,
count_wait_imd,2000-01-22,2000-01-28,0.47092469,494,1049,,,5,
count_wait_imd,2000-01-22,2000-01-28,0.480561555,445,926,,,2,
count_wait_imd,2000-01-22,2000-01-28,0.437428243,381,871,,,1 (most deprived),
count_wait_imd,2000-01-22,2000-01-28,0.302961276,266,878,,,9,
count_wait_imd,2000-01-22,2000-01-28,0.342553191,322,940,,,3,
count_wait_imd,2000-01-22,2000-01-28,0.287562189,289,1005,,,10 (least deprived),
count_wait_imd,2000-01-22,2000-01-28,0.324675325,325,1001,,,4,
count_wait_imd,2000-01-22,2000-01-28,0.326530612,320,980,,,8,
count_wait_imd,2000-01-22,2000-01-28,0.398667935,419,1051,,,7,
count_wait_imd,2000-01-22,2000-01-28,0.367619048,386,1050,,,6,
count_wait_sex,2000-01-22,2000-01-28,0.517817372,465,898,,,,female
count_wait_sex,2000-01-22,2000-01-28,0.433018868,459,1060,,,,male
count_wait_prior,2000-01-29,2000-02-04,0.396172249,414,1045,T,,,
count_wait_prior,2000-01-29,2000-02-04,0.365671642,343,938,F,,,
count_wait_age,2000-01-29,2000-02-04,0.346544715,341,984,,18-39,,
count_wait_age,2000-01-29,2000-02-04,0.465919701,499,1071,,80+,,
count_wait_age,2000-01-29,2000-02-04,0.514084507,438,852,,40-49,,
count_wait_age,2000-01-29,2000-02-04,0.464320626,475,1023,,60-69,,
count_wait_age,2000-01-29,2000-02-04,0.263671875,270,1024,,50-59,,
count_wait_age,2000-01-29,2000-02-04,0.419980601,433,1031,,70-79,,
count_wait_imd,2000-01-29,2000-02-04,0.343378995,376,1095,,,Unknown,
count_wait_imd,2000-01-29,2000-02-04,0.474842767,453,954,,,5,
count_wait_imd,2000-01-29,2000-02-04,0.55431131,495,893,,,1 (most deprived),
count_wait_imd,2000-01-29,2000-02-04,0.263494968,288,1093,,,9,
count_wait_imd,2000-01-29,2000-02-04,0.326027397,357,1095,,,3,
count_wait_imd,2000-01-29,2000-02-04,0.255102041,275,1078,,,10 (least deprived),
count_wait_imd,2000-01-29,2000-02-04,0.443368829,458,1033,,,4,
count_wait_imd,2000-01-29,2000-02-04,0.487885463,443,908,,,8,
count_wait_imd,2000-01-29,2000-02-04,0.232110092,253,1090,,,7,
count_wait_imd,2000-01-29,2000-02-04,0.39154013,361,922,,,2,
count_wait_imd,2000-01-29,2000-02-04,0.388734995,421,1083,,,6,
count_wait_sex,2000-01-29,2000-02-04,0.434444444,391,900,,,,female
count_wait_sex,2000-01-29,2000-02-04,0.447513812,486,1086,,,,male
count_wait_prior,2000-02-05,2000-02-11,0.281925344,287,1018,T,,,
count_wait_prior,2000-02-05,2000-02-11,0.404123711,392,970,F,,,
count_wait_age,2000-02-05,2000-02-11,0.342050209,327,956,,18-39,,
count_wait_age,2000-02-05,2000-02-11,0.436525612,392,898,,80+,,
count_wait_age,2000-02-05,2000-02-11,0.510297483,446,874,,40-49,,
count_wait_age,2000-02-05,2000-02-11,0.50802139,475,935,,60-69,,
count_wait_age,2000-02-05,2000-02-11,0.328699106,331,1007,,50-59,,
count_wait_age,2000-02-05,2000-02-11,0.50795334,479,943,,70-79,,
count_wait_imd,2000-02-05,2000-02-11,0.475121951,487,1025,,,Unknown,
count_wait_imd,2000-02-05,2000-02-11,0.442641947,382,863,,,5,
count_wait_imd,2000-02-05,2000-02-11,0.288770053,270,935,,,1 (most deprived),
count_wait_imd,2000-02-05,2000-02-11,0.256385998,271,1057,,,9,
count_wait_imd,2000-02-05,2000-02-11,0.321258341,337,1049,,,3,
count_wait_imd,2000-02-05,2000-02-11,0.359696641,332,923,,,10 (least deprived),
count_wait_imd,2000-02-05,2000-02-11,0.37278658,400,1073,,,4,
count_wait_imd,2000-02-05,2000-02-11,0.252225519,255,1011,,,8,
count_wait_imd,2000-02-05,2000-02-11,0.549295775,468,852,,,7,
count_wait_imd,2000-02-05,2000-02-11,0.453307393,466,1028,,,2,
count_wait_imd,2000-02-05,2000-02-11,0.330283623,361,1093,,,6,
count_wait_sex,2000-02-05,2000-02-11,0.293172691,292,996,,,,female
count_wait_sex,2000-02-05,2000-02-11,0.351425943,382,1087,,,,male
count_wait_prior,2000-02-12,2000-02-18,0.291037261,289,993,T,,,
count_wait_prior,2000-02-12,2000-02-18,0.29726776,272,915,F,,,
count_wait_age,2000-02-12,2000-02-18,0.308349146,325,1054,,18-39,,
count_wait_age,2000-02-12,2000-02-18,0.255879586,272,1063,,80+,,
count_wait_age,2000-02-12,2000-02-18,0.401430031,393,979,,40-49,,
count_wait_age,2000-02-12,2000-02-18,0.458163265,449,980,,60-69,,
count_wait_age,2000-02-12,2000-02-18,0.275576037,299,1085,,50-59,,
count_wait_age,2000-02-12,2000-02-18,0.360671937,365,1012,,70-79,,
count_wait_imd,2000-02-12,2000-02-18,0.504535147,445,882,,,Unknown,
count_wait_imd,2000-02-12,2000-02-18,0.240295749,260,1082,,,5,
count_wait_imd,2000-02-12,2000-02-18,0.391211147,365,933,,,1 (most deprived),
count_wait_imd,2000-02-12,2000-02-18,0.346363636,381,1100,,,9,
count_wait_imd,2000-02-12,2000-02-18,0.257976299,283,1097,,,10 (least deprived),
count_wait_imd,2000-02-12,2000-02-18,0.396536007,435,1097,,,4,
count_wait_imd,2000-02-12,2000-02-18,0.42949408,399,929,,,3,
count_wait_imd,2000-02-12,2000-02-18,0.294736842,280,950,,,8,
count_wait_imd,2000-02-12,2000-02-18,0.434,434,1000,,,7,
count_wait_imd,2000-02-12,2000-02-18,0.236480293,258,1091,,,2,
count_wait_imd,2000-02-12,2000-02-18,0.426801802,379,888,,,6,
count_wait_sex,2000-02-12,2000-02-18,0.337809917,327,968,,,,female
count_wait_sex,2000-02-12,2000-02-18,0.430192963,379,881,,,,male
count_wait_prior,2000-02-19,2000-02-25,0.33033033,330,999,T,,,
count_wait_prior,2000-02-19,2000-02-25,0.469583778,440,937,F,,,
count_wait_age,2000-02-19,2000-02-25,0.4572697,412,901,,18-39,,
count_wait_age,2000-02-19,2000-02-25,0.35052755,299,853,,80+,,
count_wait_age,2000-02-19,2000-02-25,0.399325084,355,889,,40-49,,
count_wait_age,2000-02-19,2000-02-25,0.428166352,453,1058,,60-69,,
count_wait_age,2000-02-19,2000-02-25,0.329087049,310,942,,50-59,,
count_wait_age,2000-02-19,2000-02-25,0.279957582,264,943,,70-79,,
count_wait_imd,2000-02-19,2000-02-25,0.258706468,260,1005,,,Unknown,
